key,block_uuid
2017|AJMER MASUDA,2a5a53f5-c90d-457d-ae62-714f0786ca97
2017|AJMER SILORA,daa98907-0bd0-4256-9274-2ff1ae919f5d
2017|AJMER PISANGAN,94d3959f-4c58-44ec-be1a-7197f36cf82b
2017|ALWAR KISHANGARH,ad103ac1-9b19-4b90-8beb-90bb3887745f
2017|ALWAR UMRAIN,888aee7d-4ab9-4e85-ad49-981e33eaf3b3
2017|BANSWARA CHHOTI SARWAN,03b7deba-2487-451e-87bd-9f7dc4946fcb
2017|BARAN ANTA,4c43ea48-bd9d-4370-99c4-43c53768ef7f
2017|BARMER SEDWA,5a3a957d-d698-4d3e-8f00-9e5695d4cce9
2017|BARMER DHANAU,48b35276-6056-4653-be66-ab3aaa14e0c6
2017|BARMER SINDHARY,bdbb91cd-8b19-4147-ab3e-315982452ddd
2017|BARMER BAITU,c086a05b-35c0-448a-9d17-aec83c5f7023
2017|BARMER SAMADRI,350b5817-faee-476c-8c32-6a4251cdbf68
2017|BARMER GADRA ROAD,cfbc2cd2-967d-4fb5-bc58-d70f9dcd71c2
2017|BARMER DHORIMANA,55dc3d5e-c5cf-4a35-8e89-71bd8f8c5af7
2017|BARMER GIDA,86141b8f-4d9f-4b9f-b25d-8cfbde571a7c
2017|BARMER SHIV,8ee31d82-ce4c-4503-a507-7d3ffa53a9d9
2017|BHILWARA BIJOLIYA,eb048b13-fe7c-4f05-a68c-2a8b44090092
2017|BHILWARA BHILWARA,aac7ab80-c909-4455-9736-45d80a42e70a
2017|CHITTAURGARH BHUPALSAGAR,719c96c0-6559-45d9-aa61-e56a9b8e8edf
2017|CHITTAURGARH RAWATBHATA,c0abc75f-8542-4c7a-b8bb-825e265f9b27
2017|DUNGARPUR GALIYKOT,831a082a-5bda-4ff6-826c-25c55777ea36
2017|DUNGARPUR JOTHRI,d466d28f-f9b4-4683-ac23-9cb6ed9abacf
2017|DUNGARPUR CHIKHLI,d5d4f0e8-6e3d-457b-8416-6e7504698fc0
2017|DUNGARPUR DOVDA,b6d27386-64df-4aa9-a1cf-ad9fbeadbf37
2017|GANGANAGAR ANOOPGARH,7aaf2dca-f02c-4c8f-857d-8e5cf26d2118
2017|GANGANAGAR VIJAINAGAR,faeb8de8-3eb1-4cf9-81fc-f27a181a3fa8
2017|GANGANAGAR GHARSANA,184d5a0e-ac81-4e13-b081-df70acf3e955
2017|HANUMANGARH SANGRIA,85e1829b-7064-4c81-b8e0-38a1e584d0f5
2017|HANUMANGARH TIBBI,f04f7c87-78c6-48f1-9b96-91865749071f
2017|HANUMANGARH PILIBANGAN,65a93ec0-b90b-4c63-9ded-69285cb5fe22
2017|JAIPUR VIRATNAGA,a0617a2c-ac66-4719-8137-4141c196d85f
2017|JAIPUR JAMWA RAM,5dcec666-99ca-431e-bc91-b931671adb02
2017|JAIPUR JALSU,54bb662a-c259-4ff3-811d-fffd280d0cb1
2017|JAIPUR GOVINDGAR,3d6ce829-c5b7-4551-825c-b48ddd6a54e2
2017|JALOR JALOR,a5415864-889e-4725-a451-995f03d86811
2017|JHALAWAR DUG,ce90595d-d934-4775-b942-d357d13292c1
2017|JODHPUR DECHU,8c7547a0-8daa-4882-b08c-7234ec56e466
2017|JODHPUR TINWARI,172e6764-9e8f-4a9d-9c02-aa02d2927ebb
2017|KARAULI Mandrial,48f6d291-c2df-46a8-950e-feb1eb004294
2017|NAGAUR RIYAN,68c37b37-20f8-4573-ba0d-eb6666ba8d8a
2017|NAGAUR KHINVSAR,3c2d1ba6-73e6-494d-9c63-117525b8ece0
2017|NAGAUR KUCHAMAN,99406d56-6ed4-4d55-8313-837e4325e9bc
2017|PALI RANI,384e1bf5-7fb0-4df7-97f4-a432ff54f678
2017|PALI MARWAR JU,988a2ead-5ce0-4477-9b40-9b0cf96c346f
2017|RAJSAMAND KUMBHALGA,dee833b4-7404-40f7-9551-1b8448718d53
2017|SAWAI MADHOPUR CHAUTH KA BERWADA,06e3c70f-bd66-4c19-8c83-e96d21088284
2017|SIKAR DHOD,6197c32a-abf8-4e75-8234-ab7074cde411
2017|UDAIPUR KURAWAD,e16abb17-2a0c-47df-8883-6fe8612c889f
2017|UDAIPUR SAYARA,d58e7106-5b24-48b7-81d8-374e5d0495ed
2017|UDAIPUR BHINDER,b9644a61-8128-4b10-a20d-33c8159c31f7
2017|UDAIPUR BADGAON,bf3540cd-a9da-4c3b-a013-e6ef39bc5d46
2017|UDAIPUR JALLARA,1177dfe1-d132-4bfe-ba49-0f43f3e7c4c7
2020|Pali,988a2ead-5ce0-4477-9b40-9b0cf96c346f
2022|Pali,50554a02-8bf7-41d6-82f8-81abd81f5ede
